Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
"Middle Tanana
Complex",AK,AK,07/03/2022,09/08/2022,"62,861",U,$3434457,WF,,2022.0
North Fork,AK,AK,06/21/2022,07/21/2022,"60,750",L,NR,WF,,2022.0
McKinney,NO,CA,07/29/2022,11/07/2022,"60,138",U,$96580000,WF,,2022.0
Cooks Peak,SW,NM,04/17/2022,05/31/2022,"59,359",U,$12500000,WF,,2022.0
Lansing Creek,AK,AK,06/21/2022,07/21/2022,"56,371",L,NR,WF,,2022.0
Eastland Complex,SA,TX,03/17/2022,04/06/2022,"54,513",U,$7,WF,,2022.0
Door Creek,AK,AK,06/13/2022,06/13/2022,"54,006",L,NR,WF,,2022.0
Schilling Creek,AK,AK,06/17/2022,07/21/2022,"53,526",L,$50000,WF,,2022.0
Titnuk Creek,AK,AK,06/09/2022,06/11/2022,"53,291",L,NR,WF,,2022.0
Borrega,SA,TX,03/30/2022,04/04/2022,"51,566",H,NR,WF,,2022.0
"Fourth of July
Creek",AK,AK,06/08/2022,07/22/2022,"51,146",L,$70912,WF,,2022.0
Radio Creek,AK,AK,06/21/2022,07/27/2022,"45,801",L,$75000,WF,,2022.0
Kiknik,AK,AK,06/09/2022,06/11/2022,"45,734",L,$3033,WF,,2022.0
Cerro Pelado,SW,NM,04/22/2022,07/11/2022,"45,605",H,$46800000,WF,,2022.0
Long Butte,EB,ID,08/21/2010,09/03/2010,"306,113",L,"$ 4,225,000",WF,09/03/2010,2010.0
Toklat,AK,AK,05/16/2010,06/04/2010,"171,727",L,"$2,109,186",WF,06/04/2010,2010.0
Jefferson,EB,ID,07/13/2010,07/17/2010,"109,436",H,"$ 700,819",WF,07/17/2010,2010.0
Turquoise Lake,AK,AK,05/18/2010,09/07/2010,"91,885",H,"$317,515",WF,09/07/2010,2010.0
Big Mountain,AK,AK,06/02/2010,09/02/2010,"83,746",L,NR,WF,09/02/2010,2010.0
Pat Creek,AK,AK,06/25/2010,12/30/2010,"72,692",L,"$11,622,393",WF,12/30/2010,2010.0
Lone Mountain,AK,AK,05/29/2010,12/22/2010,"51,996",L,"$10,044",WF,12/22/2010,2010.0
Twitchell Canyon,EB,UT,07/20/2010,11/18/2010,"44,892",L,"$ 17,363,000",WF,11/18/2010,2010.0
Bull Creek,AK,AK,05/31/2010,06/25/2010,"41,911",L,NR,WF,06/25/2010,2010.0
Anderson Creek,SA,OK,03/23/2016,04/04/2016,"367,740",U,$1750000,WF,,2016.0
Pioneer,GB,ID,07/18/2016,10/27/2016,"188,404",U,$90000000,WF,,2016.0
Range 12,NW,WA,07/30/2016,08/08/2016,"176,600",U,$1700000,WF,,2016.0
Soberanes,SO,CA,07/22/2016,10/23/2016,"132,127",H,$262500000,WF,,2016.0
Hot Pot,GB,NV,07/02/2016,07/10/2016,"122,292",U,$3402259,WF,,2016.0
Alatna Complex,AK,AK,06/28/2016,07/24/2016,"113,157",L,$1040018,WF,,2016.0
Virginia Mountains Complex,GB,NV,07/29/2016,08/06/2016,"59,727",L,$8000200,WF,,2016.0
Dulbi Flats,AK,AK,06/26/2016,08/26/2016,"58,138",L,NR,WF,,2016.0
350 Complex,SA,OK,05/05/2016,05/15/2016,"57,167",U,$900000,WF,,2016.0
Henrys Creek,GB,ID,08/21/2016,08/31/2016,"52,972",U,$4320000,WF,,2016.0
Erskine,SO,CA,06/23/2016,07/07/2016,"48,019",U,$23000000,WF,,2016.0
Chimney,SO,CA,08/13/2016,09/05/2016,"46,344",U,$78300000,WF,,2016.0
Cedar,SW,AZ,06/15/2016,07/28/2016,"45,977",U,$14000000,WF,,2016.0
Maple,RM,WY,08/08/2016,10/27/2016,"45,516",L,$6267928,WF,,2016.0
Crutch Complex,SA,TX,03/24/2016,03/24/2016,"44,696",U,NR,WF,,2016.0
Big Mud,AK,AK,06/01/2016,06/19/2016,"42,641",L,$59268,WF,,2016.0
North,SW,NM,05/21/2016,07/14/2016,"42,102",L,$4800000,WF,,2016.0
Rail,NW,OR,07/31/2016,09/29/2016,"41,706",U,$34900000,WF,,2016.0
Cottonwood CA,RM,SD,10/16/2016,10/18/2016,"41,360",U,$170000,WF,,2016.0
Long Draw,NW,OR,07/08/2012,07/30/2012,"557,628",L,"$4,360,000",WF,07/30/2012,2012.0
Holloway,NW/WB,OR/NV,08/05/2012,08/23/2012,"460,850",L,"$9,166,719",WF,08/23/2012,2012.0
Mustang Complex,EB,ID,07/30/2012,10/18/2012,"341,488",L,"$38,323,413",WF,10/18/2012,2012.0
Rush,NO,CA,08/12/2012,09/04/2012,"315,577",L,"$15,170,000",WF,09/04/2012,2012.0
Whitewater-Baldy,SW,NM,05/16/2012,07/31/2012,"297,845",L,"$23,000,000",WF,07/31/2012,2012.0
Ash Creek,NR,MT,06/25/2012,07/11/2012,"249,562",L,"$7,500,000",WF,07/11/2012,2012.0
Kinyon Road,EB,ID,07/07/2012,07/19/2012,"210,874",L,"$1,625,000",WF,07/19/2012,2012.0
Halstead,EB,ID,07/27/2012,10/18/2012,"181,948",L,"$26,413,932",WF,10/18/2012,2012.0
Rosebud Creek Complex,NR,MT,08/01/2012,08/16/2012,"171,444",L,"$9,000,000",WF,08/16/2012,2012.0
Miller Homestead,NW,OR,07/08/2012,09/21/2012,"160,853",L,"$6,000,000",WF,09/21/2012,2012.0
Trinity Ridge,EB,ID,08/03/2012,10/18/2012,"146,832",H,"$41,228,912",WF,10/18/2012,2012.0
Flat Top 2,EB,ID,08/05/2012,08/13/2012,"140,954",L,"$600,000",WF,08/13/2012,2012.0
