Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month
Chimney,SO,CA,2016-08-13,2016-09-05,46344.0,U,78300000.0,WF,2016.0,23,8
Cedar,SW,AZ,2016-06-15,2016-07-28,45977.0,U,14000000.0,WF,2016.0,43,6
Maple,RM,WY,2016-08-08,2016-10-27,45516.0,L,6267928.0,WF,2016.0,80,8
Crutch Complex,SA,TX,2016-03-24,2016-03-24,44696.0,U,,WF,2016.0,0,3
Big Mud,AK,AK,2016-06-01,2016-06-19,42641.0,L,59268.0,WF,2016.0,18,6
North,SW,NM,2016-05-21,2016-07-14,42102.0,L,4800000.0,WF,2016.0,54,5
Rail,NW,OR,2016-07-31,2016-09-29,41706.0,U,34900000.0,WF,2016.0,60,7
Cottonwood CA,RM,SD,2016-10-16,2016-10-18,41360.0,U,170000.0,WF,2016.0,2,10
Long Draw,NW,OR,2012-07-08,2012-07-30,557628.0,L,4360000.0,WF,2012.0,22,7
Holloway,NW/WB,OR/NV,2012-08-05,2012-08-23,460850.0,L,9166719.0,WF,2012.0,18,8
Mustang Complex,EB,ID,2012-07-30,2012-10-18,341488.0,L,38323413.0,WF,2012.0,80,7
Rush,NO,CA,2012-08-12,2012-09-04,315577.0,L,15170000.0,WF,2012.0,23,8
Whitewater-Baldy,SW,NM,2012-05-16,2012-07-31,297845.0,L,23000000.0,WF,2012.0,76,5
Ash Creek,Unknown,MT,2012-06-25,2012-07-11,249562.0,L,7500000.0,WF,2012.0,16,6
Kinyon Road,EB,ID,2012-07-07,2012-07-19,210874.0,L,1625000.0,WF,2012.0,12,7
Halstead,EB,ID,2012-07-27,2012-10-18,181948.0,L,26413932.0,WF,2012.0,83,7
Rosebud Creek Complex,Unknown,MT,2012-08-01,2012-08-16,171444.0,L,9000000.0,WF,2012.0,15,8
Miller Homestead,NW,OR,2012-07-08,2012-09-21,160853.0,L,6000000.0,WF,2012.0,75,7
Trinity Ridge,EB,ID,2012-08-03,2012-10-18,146832.0,H,41228912.0,WF,2012.0,76,8
Flat Top 2,EB,ID,2012-08-05,2012-08-13,140954.0,L,600000.0,WF,2012.0,8,8
Chalky,Unknown,MT,2012-08-01,2012-08-03,131000.0,L,50000.0,WF,2012.0,2,8
Clay Springs,EB,UT,2012-06-27,2012-07-24,107847.0,U,6659000.0,WF,2012.0,27,6
Arapaho,RM,WY,2012-06-27,2012-07-16,98115.0,L,13100000.0,WF,2012.0,19,6
Minidoka Complex,EB,ID,2012-08-08,2012-08-23,97616.0,L,5801271.0,WF,2012.0,15,8
Barry Point,NW,OR,2012-08-06,2012-09-17,93071.0,L,23247235.0,WF,2012.0,42,8
High Park,RM,CO,2012-06-09,2012-07-11,87284.0,L,38400000.0,WF,2012.0,32,6
Region 23 Complex,RM,NE,2012-08-28,2012-09-09,86201.0,L,5300000.0,WF,2012.0,12,8
Sarpy Hills Complex,Unknown,MT,2012-07-31,2012-08-09,82000.0,L,4120000.0,WF,2012.0,9,7
Barker Canyon Complex,NW,WA,2012-09-08,2012-09-15,81155.0,L,2290268.0,WF,2012.0,7,9
Wellnitz,RM,NE,2012-08-29,2012-09-06,77683.0,L,1300000.0,WF,2012.0,8,8
Region 24 Complex,RM,NE,2012-07-20,2012-07-29,76242.0,L,3251141.0,WF,2012.0,9,7
