Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month,Cost_Source
Wenatchee Complex,NW,WA,2012-09-09,2012-10-30,56478.0,L,32394876.0,WF,2012.0,51,9,Original
Bull Run Complex,WB,NV,2012-08-09,2012-08-19,51366.0,L,4816272.0,WF,2012.0,10,8,Original
Jacks,EB,ID,2012-07-09,2012-07-20,50816.0,L,300000.0,WF,2012.0,11,7,Original
Keith County Complex,RM,NE,2012-08-02,2012-08-05,50000.0,L,20000.0,WF,2012.0,3,8,Original
Uvgoon Creek #1,AK,AK,2012-07-03,2012-11-06,49305.0,L,189325.0,WF,2012.0,126,7,Original
Sheep,Unknown,ID,2012-09-06,2012-11-06,48626.0,H,18000000.0,WF,2012.0,61,9,Original
Seeley,EB,UT,2012-06-26,2012-08-17,48050.0,L,8699000.0,WF,2012.0,52,6,Original
Wood Hollow,EB,UT,2012-06-23,2012-07-19,47387.0,U,5787095.0,WF,2012.0,26,6,Original
Dry Creek,AK,AK,2012-06-23,2012-11-15,47154.0,L,15000.0,WF,2012.0,145,6,Original
Bagley,NO,CA,2012-08-18,2012-09-22,46011.0,L,37063416.0,WF,2012.0,35,8,Original
Alpine Lake,RM,WY,2012-08-09,2012-10-25,45877.0,L,3850000.0,WF,2012.0,77,8,Original
Last Chance,RM,CO,2012-06-25,2012-06-26,45000.0,U,10000.0,WF,2012.0,1,6,Original
Little Bear,SW,NM,2012-06-04,2012-07-02,44330.0,L,19404877.0,WF,2012.0,28,6,Original
Longhorn Complex,RM,SD,2012-07-19,2012-07-30,43639.0,L,4600000.0,WF,2012.0,11,7,Original
McGuire Complex,Unknown,ID,2012-08-27,2012-10-29,43621.0,L,24741628.0,WF,2012.0,63,8,Original
Dallas Canyon,EB,UT,2012-07-27,2012-08-03,43610.0,L,1854802.0,WF,2012.0,7,7,Original
Willow,WB,NV,2012-08-05,2012-08-19,43271.0,L,3000000.0,WF,2012.0,14,8,Original
Table Mountain,NW,WA,2012-09-08,2012-10-19,42312.0,L,195000.0,WF,2012.0,41,9,Original
North Pass,NO,CA,2012-08-18,2012-09-17,41983.0,L,30493184.0,WF,2012.0,30,8,Original
Delphia,Unknown,MT,2012-08-24,2012-09-01,40653.0,L,2450000.0,WF,2012.0,8,8,Original
August Complex,NO,CA,2020-08-17,2020-11-11,1032648.0,U,115511218.0,WF,2020.0,86,8,Original
"SCU Lightning
Complex",NO,CA,2020-08-16,2020-09-14,396624.0,U,69412351.0,WF,2020.0,29,8,Original
SHF Elkhorn,NO,CA,2020-08-29,2020-09-09,391493.0,L,9032711.0,WF,2020.0,11,8,Imputed
Creek,SO,CA,2020-09-04,2020-12-17,379895.0,U,193000000.0,WF,2020.0,104,9,Original
"LNU Lightning
Complex",NO,CA,2020-08-17,2020-10-01,363220.0,U,94646381.0,WF,2020.0,45,8,Original
North Complex,NO,CA,2020-08-17,2020-12-02,318935.0,U,112711950.0,WF,2020.0,107,8,Original
Pearl Hill,NW,WA,2020-09-07,2020-09-15,223730.0,U,4241353.0,WF,2020.0,8,9,Original
Cameron Peak,RM,CO,2020-08-13,2020-12-04,208913.0,U,133300000.0,WF,2020.0,113,8,Original
Lionshead,NW,OR,2020-08-16,2020-11-12,204469.0,L,65440000.0,WF,2020.0,88,8,Original
East Troublesome,RM,WY,2020-10-14,2020-11-25,193812.0,U,15682681.0,WF,2020.0,42,10,Original
Beachie Creek,NW,OR,2020-08-16,2020-10-28,193573.0,U,29838526.0,WF,2020.0,73,8,Original
Bush,SW,AZ,2020-06-13,2020-07-03,193455.0,H,11642634.0,WF,2020.0,20,6,Original
Cold Springs,NW,WA,2020-09-06,2020-09-19,189923.0,U,3917998.0,WF,2020.0,13,9,Original
Mullen,RM,WY,2020-09-17,2020-12-10,176878.0,U,42400000.0,WF,2020.0,84,9,Original
Castle,SO,CA,2020-08-19,2020-08-24,174178.0,L,8473269.0,WF,2020.0,5,8,Imputed
SQF Complex,SO,CA,2020-08-24,2020-12-17,174178.0,Unknown,12247235.0,WF,2020.0,115,8,Imputed
Holiday Farm,NW,OR,2020-09-07,2020-10-27,173393.0,U,29100932.0,WF,2020.0,50,9,Original
Slater,NO,CA,2020-09-08,2020-11-15,157270.0,U,55043900.0,WF,2020.0,68,9,Original
"Red Salmon
Complex",NO,CA,2020-07-28,2020-11-16,144698.0,L,7202944.5,WF,2020.0,111,7,Imputed
"August Complex
West Zone",NO,CA,2020-09-10,2020-10-14,140944.0,L,115300000.0,WF,2020.0,34,9,Original
Pine Gulch,RM,CO,2020-07-31,2020-09-22,139007.0,U,35000000.0,WF,2020.0,53,7,Original
Riverside,NW,OR,2020-09-08,2020-11-26,138054.0,H,20482000.0,WF,2020.0,79,9,Original
Archie Creek,NW,OR,2020-09-08,2020-11-26,131542.0,U,40000000.0,WF,2020.0,79,9,Original
Whitney,NW,WA,2020-09-07,2020-09-15,127430.0,U,3300000.0,WF,2020.0,8,9,Original
Dolan,SO,CA,2020-08-18,2020-12-24,124924.0,U,74000000.0,WF,2020.0,128,8,Original
Bighorn,SW,AZ,2020-06-05,2020-07-22,119978.0,L,44463612.0,WF,2020.0,47,6,Original
