Name,Start_Date,Last_Report_Date,Size_Acres,Cost,Year,Duration_Days,Start_Month,Start_Year,Start_Day,Start_Weekday,Last_Year,GACC_EB,GACC_GB,GACC_NO,GACC_NW,GACC_NW/WB,GACC_RM,GACC_SA,GACC_SO,GACC_SW,GACC_Unknown,GACC_WB,State_AZ,State_CA,State_CO,State_FL,State_GA,State_ID,State_KS,State_MN,State_MT,State_NC,State_NE,State_NM,State_NV,State_OK,State_OR,State_OR/NV,State_SD,State_TX,State_UT,State_WA,State_WY,Cause_L,Cause_N,Cause_U,Cause_Unknown
"Salmon August
Complex",2017-08-13,2017-10-04,65889.0,7925100.0,2017.0,52,8,2017,13,6,2017,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dry Gulch,2017-07-04,2017-07-11,64000.0,2700000.0,2017.0,7,7,2017,4,1,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Meyers,2017-07-14,2017-10-13,62034.0,32800000.0,2017.0,91,7,2017,14,4,2017,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Snowstorm,2017-07-14,2017-07-15,60000.0,482448.0,2017.0,1,7,2017,14,4,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Rim,2013-08-17,2013-10-24,257314.0,127350000.0,2013.0,68,8,2013,17,5,2013,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Lime Hills,2013-05-31,2013-08-29,201808.0,2883457.0,2013.0,90,5,2013,31,4,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Moore Creek,2013-06-02,2013-08-29,157747.0,371499.0,2013.0,88,6,2013,2,6,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Pony Complex,2013-08-09,2013-08-19,149384.0,4000000.0,2013.0,10,8,2013,9,4,2013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Silver,2013-06-07,2013-09-10,138546.0,14300000.0,2013.0,95,6,2013,7,4,2013,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Elk Complex,2013-08-09,2013-08-31,131258.0,10720000.0,2013.0,22,8,2013,9,4,2013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
